Redd,3,female,Gordon Setter,11/12/2019,11/12/2019,red,short,small,no,yes,yes,yes,yes,yes,yes,flat,BT4 1NG
Keeton,6,female,Maremma Sheepdog,01/12/2019,09/12/2019,black and white,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT5 3YY
Emmye,9,male,Scottish Terrier,23/12/2019,08/12/2019,saddle back,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT17 6EX
Greiner,6,male,Dachshund (Miniature Smooth Haired),23/12/2019,08/12/2019,yellow-brown,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT6 5KA
Maddy,16,female,Dachshund (Wire Haired),11/12/2019,11/12/2019,black,short,small,no,yes,yes,yes,yes,yes,yes,flat,BT37 8PE
Roswell,7,male,Bedlington Terrier,24/12/2019,09/12/2019,yellow-brown,short,small,yes,yes,yes,yes,yes,yes,yes,flat,BT62 7TL
Thurber,13,male,Sussex Spaniel,01/12/2019,09/12/2019,brown,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT27 6HO
Fiedler,7,female,Bracco Italiano,25/12/2019,11/12/2019,gray and white,short,medium,no,yes,yes,yes,yes,yes,yes,flat,BT18 2EK
Nashner,1,female,Field Spaniel,26/12/2019,12/12/2019,black,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT16 8TX
Noelyn,13,female,Shih Tzu,10/12/2019,11/12/2019,brown and white,short,small,no,yes,yes,yes,yes,yes,yes,flat,BT60 7WX
Zelle,14,male,Lowchen,25/10/2019,12/12/2019,red,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT48 5FX
Beverly,15,male,Deerhound,23/12/2019,08/12/2019,saddle back,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT30 9SE
Gabbert,11,female,Poodle Standard,23/12/2019,08/12/2019,brown,long,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT52 3LA
Carlynne,6,male,German Short-Haired Pointer,10/12/2019,11/12/2019,tricolor,short,small,no,yes,yes,yes,yes,yes,yes,flat,BT11 8FN
Arundell,7,male,Collie (Rough),01/12/2019,09/12/2019,brown and white,short,medium,yes,yes,yes,yes,no,no,no,flat,BT75 4OA
Camilo,10,male,Schnauzer Miniature,23/12/2019,08/12/2019,black,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT53 1QA
Andreana,2,female,Poodle Miniature,10/12/2019,11/12/2019,tricolor,short,small,no,yes,yes,yes,yes,yes,yes,flat,BT24 8XV
Rieger,1,male,Border Terrier,05/12/2019,09/12/2019,black,wirehaired,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT72 2HK
Stouffer,3,male,Pointer,23/12/2019,08/12/2019,yellow-brown,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT61 8RV
Rainie,9,male,Portuguese Water Dog,10/12/2019,10/12/2019,spotty,medium,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT35 4BW
Romanas,15,female,Basset Fauve de Bretagne,16/12/2019,08/12/2019,white,medium,large,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT68 7TA
Yuria,8,male,Leonberger,25/11/2019,07/12/2019,black,medium,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT15 1RL
Garson,14,female,Maltese,27/11/2019,07/12/2019,apricot,short,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT41 5QA
Lussi,14,female,Norwich Terrier,22/12/2019,07/12/2019,yellow-brown,wirehaired,medium,no,yes,yes,yes,yes,yes,yes,flat,BT52 1GG
Conny,9,female,Dachshund (Smooth Haired),03/12/2019,07/12/2019,black,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT11 9EX
Svensen,18,female,Cavalier King Charles Spaniel,28/11/2019,07/12/2019,black and brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT32 5PK
Stavros,2,female,English Setter,01/12/2019,07/12/2019,brown and white,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT16 7UA
Gualtiero,3,female,Bedlington Terrier,01/12/2019,07/12/2019,black and brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT55 4OX
Nell,15,male,Italian Greyhound,23/12/2019,08/12/2019,saddle back,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT23 5OP
Hewet,17,male,Boston Terrier,07/12/2019,07/12/2019,brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT79 8RJ
Dysart,14,male,Tibetan Mastiff,27/11/2019,07/12/2019,golden,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT16 5NC
Richela,6,male,Maltese,21/12/2019,07/12/2019,striped,short,medium,no,yes,yes,yes,yes,yes,yes,flat,BT70 6UE
Phillie,9,male,Greyhound,23/12/2019,08/12/2019,black,short,small,no,yes,yes,yes,yes,yes,yes,flat,BT55 4YM
Chan,14,male,Newfoundland,22/11/2019,07/12/2019,brown,medium,large,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT79 8CK
Wilburn,10,female,Dogue de Bordeaux,01/12/2019,07/12/2019,striped,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT71 6WA
Jephum,3,male,Shar Pei,07/12/2019,07/12/2019,black and white,wirehaired,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT39 6WZ
Etoile,3,male,Finnish Spitz,05/12/2019,07/12/2019,yellow,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT36 9NI
Ostler,4,male,Bullmastiff,03/12/2019,07/12/2019,apricot,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT47 1WJ
Packer,3,male,German Shepherd Dog,07/12/2019,07/12/2019,brown and white,wirehaired,small,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT13 7MD
Tasha,3,male,Rhodesian Ridgeback,23/12/2019,08/12/2019,yellow-brown,medium,medium,no,yes,yes,yes,no,yes,yes,both flat and garden,BT9 3YP
Atalayah,2,male,Labrador Retriever,17/12/2019,02/12/2019,wild boar,short,small,no,yes,yes,yes,no,yes,yes,flat,BT56 6DC
MacKenzie,5,female,Dachshund (Miniature Smooth Haired),04/12/2019,03/12/2019,brown,long,medium,yes,yes,yes,yes,no,yes,yes,flat,BT15 2XO
Babby,14,male,Labrador Retriever,04/11/2019,29/11/2019,brown,wirehaired,medium,yes,yes,yes,yes,no,yes,yes,flat,BT34 9KQ
Frasco,10,male,Lowchen,03/12/2019,05/12/2019,brown and white,short,medium,no,yes,yes,yes,no,yes,yes,both flat and garden,BT12 7MR
Varini,9,male,Rottweiler,17/12/2019,02/12/2019,black and tan,wirehaired,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT76 2JS
Powel,1,male,West Highland White Terrier,04/11/2019,29/11/2019,tricolor,medium,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT28 7PY
Aleen,8,male,Bull Terrier Miniature,07/10/2019,05/12/2019,black,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT49 7ZN
Sybila,15,female,Chinese Crested,19/12/2019,04/12/2019,saddle back,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT39 1UP
Lonnie,6,female,Portuguese Water Dog,04/12/2019,03/12/2019,striped,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT81 2AX
Innes,8,female,Australian Cattle Dog,07/10/2019,05/12/2019,brown,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT6 7DM
Sari,12,male,Poodle Miniature,01/11/2019,30/11/2019,black and brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT80 6OK
Xeno,6,female,Chinese Crested,04/11/2019,29/11/2019,brown,short,medium,yes,yes,yes,yes,yes,yes,yes,flat,BT20 1AH
Landy,10,female,Poodle Toy,01/11/2019,30/11/2019,brown and white,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT27 8PL
Mauri,6,male,Greyhound,16/12/2019,01/12/2019,yellow-brown,wirehaired,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT80 8WU
Lizbeth,16,male,Italian Greyhound,05/12/2019,05/12/2019,brown,short,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT62 6VC
Giacomo,1,male,Gordon Setter,01/12/2019,01/12/2019,yellow-brown,medium,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT30 2BV
Kerin,4,male,Shar Pei,06/12/2019,05/12/2019,black and brown,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden,BT43 2DX
Edan,1,female,Dogue de Bordeaux,07/10/2019,05/12/2019,brown,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden,BT47 7XI
Newfeld,18,male,Tibetan Mastiff,04/12/2019,03/12/2019,brown and white,short,large,yes,yes,yes,yes,yes,yes,yes,flat,BT35 4LA
